resource name	resource url	new source ending
Ireland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ireland.tar.gz	&country=IE
Israel Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_israel.tar.gz	&country=IL
Ivory Coast Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ivorycoast.tar.gz	&country=CI
Italy Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_italy.tar.gz	&country=IT
Jamaica Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_jamaica.tar.gz	&country=JM
Jordan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_jordan.tar.gz	&country=JO
Kazakhstan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kazakhstan.tar.gz	&country=KZ
Kenya Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kenya.tar.gz	&country=KE
Kiribati Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kiribati.tar.gz	&country=KI
Kuwait Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kuwait.tar.gz	&country=KW
Kyrgyzstan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kyrgyzstan.tar.gz	&country=KG
Laos Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_laos.tar.gz	&country=LA
Latvia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_latvia.tar.gz	&country=LV
Lebanon Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lebanon.tar.gz	&country=LB
Lesotho Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lesotho.tar.gz	&country=LS
Liberia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_liberia.tar.gz	&country=LR
Libya Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_libya.tar.gz	&country=LY
Liechtenstein Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_liechtenstein.tar.gz	&country=LI
Lithuania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lithuania.tar.gz	&country=LT
Luxembourg Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_luxembourg.tar.gz	&country=LU
Macau Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_macau.tar.gz	&country=MO
Madagascar Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_madagascar.tar.gz	&country=MG
Malawi Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_malawi.tar.gz	&country=MW
Malaysia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_malaysia.tar.gz	&country=MY
Maldives Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_maldives.tar.gz	&country=MV
Mali Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mali.tar.gz	&country=ML
Marshall Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_marshallislands.tar.gz	&country=MH
Mauritania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mauritania.tar.gz	&country=MR
Mauritius Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mauritius.tar.gz	&country=MU
Moldova Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_moldova.tar.gz	&country=MD
Monaco Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_monaco.tar.gz	&country=MC
Mongolia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mongolia.tar.gz	&country=MN
Montenegro Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_montenegro.tar.gz	&country=ME
Morocco Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_morocco.tar.gz	&country=MA
Mozambique Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mozambique.tar.gz	&country=MZ
Myanmar Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_myanmar.tar.gz	&country=MM
Namibia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_namibia.tar.gz	&country=NA
Nauru Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_nauru.tar.gz	&country=NR
Nepal Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_nepal.tar.gz	&country=NP
The Netherlands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_netherlands.tar.gz	&country=NL
New Zealand Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_newzealand.tar.gz	&country=NZ
Nicaragua Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_nicaragua.tar.gz	&country=NI
Niger Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_niger.tar.gz	&country=NE
Nigeria Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_nigeria.tar.gz	&country=NG
Niue	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_niue.tar.gz	&country=NU
North Korean Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_northkorea.tar.gz	&country=KP
Norway Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_norway.tar.gz	&country=NO
Oman Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_oman.tar.gz	&country=OM
Pakistan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_pakistan.tar.gz	&country=PK
Palau Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_palau.tar.gz	&country=PW
Palestine Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_palestine.tar.gz	&country=PS
Panama Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_panama.tar.gz	&country=PA
Papua New Guinea Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_papuanewguinea.tar.gz	&country=PG
Paraguay Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_paraguay.tar.gz	&country=PY
Peru Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_peru.tar.gz	&country=PE
Poland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_poland.tar.gz	&country=PL
Portugal Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_portugal.tar.gz	&country=PT
Qatar Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_qatar.tar.gz	&country=QA
Macedonia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_macedonia.tar.gz	&country=MK
Republic of the Congo	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_repubcongo.tar.gz	&country=CG
Romania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_romania.tar.gz	&country=RO
Saint Kitts and Nevis Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saintkittsandnevis.tar.gz	&country=KN
Samoa Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_samoa.tar.gz	&country=WS
San Marino Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sanmarino.tar.gz	&country=SM
São Tomé and Príncipe Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saotomeprincipe.tar.gz	&country=ST
Saudi Arabia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saudiarabia.tar.gz	&country=SA
Senegal Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_senegal.tar.gz	&country=SN
Serbia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_serbia.tar.gz	&country=RS
Seychelles Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_seychelles.tar.gz	&country=SC
Sierra Leone Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sierraleone.tar.gz	&country=SL
Singapore Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_singapore.tar.gz	&country=SG
Sint Maarten Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sintmaarten.tar.gz	&country=SX
Slovakia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_slovakia.tar.gz	&country=SK
Slovenia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_slovenia.tar.gz	&country=SI
Solomon Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_solomonislands.tar.gz	&country=SB
Somalia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_somalia.tar.gz	&country=SO
South Africa Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_southafrica.tar.gz	&country=ZA
South Korea Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_southkorea.tar.gz	&country=KR
South Sudan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_southsudan.tar.gz	&country=SS
Spain Species List (untrusted)	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_spain.tar.gz	&country=ES
Sri Lanka Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_srilanka.tar.gz	&country=LK
Sudan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sudan.tar.gz	&country=SD
Suriname Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_suriname.tar.gz	&country=SR
Swaziland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_swaziland.tar.gz	&country=SZ
Sweden Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sweden.tar.gz	&country=SE
Switzerland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_switzerland.tar.gz	&country=CH
Taiwan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_taiwan.tar.gz	&country=TW
Tajikistan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_tajikistan.tar.gz	&country=TJ
Tanzania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_tanzania.tar.gz	&country=TZ
Thailand Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_thailand.tar.gz	&country=TH
The Bahamas Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_bahamas.tar.gz	&country=BS
The Gambia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_gambia.tar.gz	&country=GM
Timor-Leste Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_timor-leste.tar.gz	&country=TL
Togo Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_togo.tar.gz	&country=TG
Tonga Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_tonga.tar.gz	&country=TO
Trinidad and Tobago Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_trinidadtobago.tar.gz	&country=TT
Tunisia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_tunisia.tar.gz	&country=TN
Turkey Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_turkey.tar.gz	&country=TR
Turkmenistan	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_turkmenistan.tar.gz	&country=TM
Tuvalu Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_tuvalu.tar.gz	&country=TV
Uganda Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_uganda.tar.gz	&country=UG
Rwanda Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_rwanda.tar.gz	&country=RW
Saint Lucia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saintlucia.tar.gz	&country=LC
Ukraine Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ukraine.tar.gz	&country=UA
United Arab Emirates Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_unitedarabemirates.tar.gz	&country=AE
United Kingdom Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_unitedkingdom.tar.gz	&country=GB
Uruguay Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_uruguay.tar.gz	&country=UY
Uzbekistan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_uzbekistan.tar.gz	&country=UZ
Vanuatu Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_vanuatu.tar.gz	&country=VU
Vatican City Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_vaticancity.tar.gz	&geometry=POLYGON((12.44573%2041.90205,12.44817%2041.90051,12.45433%2041.90008,12.45821%2041.9012,12.45803%2041.90562,12.45551%2041.90754,12.45066%2041.90662,12.44573%2041.90205))
Venezuela Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_venezuela.tar.gz	&country=VE
Vietnam Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_vietnam.tar.gz	&country=VN
Yemen Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_yemen.tar.gz	&country=YE
Zambia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_zambia.tar.gz	&country=ZM
Zimbabwe Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_zimbabwe.tar.gz	&country=ZW
Hong Kong Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_hongkong.tar.gz	&country=HK
Puerto Rico Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_puertorico.tar.gz	&country=PR
Mayotte Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mayotte.tar.gz	&country=YT
Territory of the French Southern and Antarctic Lands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_terrfrenchantarc.tar.gz	&country=TF
Territory of Heard Island and McDonald Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_territoryofheardislandandmcdonaldislands.tar.gz	&country=HM
Cocos Islands	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_cocosislands.tar.gz	&country=CC
Christmas Island Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_christmasisland.tar.gz	&country=CX
New Caledonia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_newcaledonia.tar.gz	&country=NC
Norfolk Island Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_norfolkisland.tar.gz	&country=NF
Gibraltar Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_gibraltar.tar.gz	&country=GI
Bailiwick of Jersey Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_jersey.tar.gz	&country=JE
Isle of Man Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_isleofman.tar.gz	&country=IM
Guernsey Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_guernsey.tar.gz	&country=GG
Saint Helena Ascension and Tristan da Cunha Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_helenaascencion.tar.gz	&country=SH
Bouvet Island Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_bouvetisland.tar.gz	&country=BV
French Guiana Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_frenchguiana.tar.gz	&country=GF
Saint-Pierre et Miquelon Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saint-pierreetmiquelon.tar.gz	&country=PM
Falkland Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_falklandislands.tar.gz	&country=FK
South Georgia and the South Sandwich Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_georgiasandwich.tar.gz	&country=GS
Martinique Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_martinique.tar.gz	&country=MQ
Anguilla Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_anguilla.tar.gz	&country=AI
Turks and Caicos Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_turkscaicos.tar.gz	&country=TC
British Virgin Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_britishvirginislands.tar.gz	&country=VG
Montserrat Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_montserrat.tar.gz	&country=MS
Saint Martin Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saintmartin.tar.gz	&country=MF
Saint Barthelemy Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saintbarthelemy.tar.gz	&country=BL
Guadeloupe Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_guadeloupe.tar.gz	&country=GP
Cayman Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_cayman.tar.gz	&country=KY
French Polynesia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_frenchpolynesia.tar.gz	&country=PF
Pitcairn, Henderson, Ducie, and, Oeno Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_pitcairnhendersonducieandoenoislands.tar.gz	&country=PN
Tokelau Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_tokelau.tar.gz	&country=TK
Wallis et Futuna Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_wallisetfutuna.tar.gz	&country=WF
Mariana Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_mariana.tar.gz	&country=MP
Guam Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_guam.tar.gz	&country=GU
US Virgin Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_usvirgin.tar.gz	&country=VI
US Minor Outlying Islands	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_usminor.tar.gz	&country=UM
Bonaire, Saint Eustatius, and Saba Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_bonaire.tar.gz	&country=BQ
Kosovo Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kosovo.tar.gz	&country=XK
Réunion Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_reunion.tar.gz	&geometry=POLYGON((55.66219%20-20.90952,55.39713%20-20.86765,55.34024%20-20.92683,55.28287%20-20.93053,55.2736%20-21.00009,55.21084%20-21.04559,55.22919%20-21.0904,55.32897%20-21.28689,55.58767%20-21.39716,55.80263%20-21.35662,55.83262%20-21.16595,55.66219%20-20.90952))
Malta Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_malta.tar.gz	&country=MT
Federated States of Micronesia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_micronesia.tar.gz	&country=FM
Saint Vincent and the Grenadines Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saintvincentandthegrenadines.tar.gz	&country=VC
